"id_vendas","id_veiculos","id_concessionarias","id_vendedores","id_clientes","valor_pago","data_venda","data_inclusao","data_atualizacao"
261746,3,14,45,260459,"483485.48","2025-12-27 02:05:01.593591+00","2025-12-27 02:05:01.593591+00","2025-12-27 02:05:01.593591+00"
262035,6,12,48,260747,"766325.22","2025-12-28 02:05:01.33408+00","2025-12-28 02:05:01.33408+00","2025-12-28 02:05:01.33408+00"
262109,5,5,19,260821,"305744.69","2025-12-28 08:15:01.542361+00","2025-12-28 08:15:01.542361+00","2025-12-28 08:15:01.542361+00"
262183,2,29,42,260895,"333301.08","2025-12-28 14:25:01.704538+00","2025-12-28 14:25:01.704538+00","2025-12-28 14:25:01.704538+00"
262257,3,16,21,260969,"479345.68","2025-12-28 20:35:01.69932+00","2025-12-28 20:35:01.69932+00","2025-12-28 20:35:01.69932+00"
262323,1,18,51,261035,"242684.33","2025-12-29 02:05:01.600331+00","2025-12-29 02:05:01.600331+00","2025-12-29 02:05:01.600331+00"
262397,1,9,37,261109,"246373.04","2025-12-29 08:15:01.885052+00","2025-12-29 08:15:01.885052+00","2025-12-29 08:15:01.885052+00"
262471,1,21,41,261182,"240196.20","2025-12-29 14:20:01.241835+00","2025-12-29 14:20:01.241835+00","2025-12-29 14:20:01.241835+00"
262545,1,14,45,261256,"247242.72","2025-12-29 20:30:01.325489+00","2025-12-29 20:30:01.325489+00","2025-12-29 20:30:01.325489+00"
262612,7,20,50,261323,"392435.58","2025-12-30 02:05:02.119407+00","2025-12-30 02:05:02.119407+00","2025-12-30 02:05:02.119407+00"
262686,3,14,45,261397,"478307.20","2025-12-30 08:15:01.686452+00","2025-12-30 08:15:01.686452+00","2025-12-30 08:15:01.686452+00"
262760,1,14,45,261471,"240065.61","2025-12-30 14:25:01.968034+00","2025-12-30 14:25:01.968034+00","2025-12-30 14:25:01.968034+00"
261820,3,8,53,260533,"482043.33","2025-12-27 08:15:01.539611+00","2025-12-27 08:15:01.539611+00","2025-12-27 08:15:01.539611+00"
261894,2,16,24,260607,"340750.29","2025-12-27 14:25:02.121744+00","2025-12-27 14:25:02.121744+00","2025-12-27 14:25:02.121744+00"
261968,8,16,23,260681,"292485.61","2025-12-27 20:35:01.234715+00","2025-12-27 20:35:01.234715+00","2025-12-27 20:35:01.234715+00"
261458,5,26,39,260171,"316594.00","2025-12-26 02:05:01.522713+00","2025-12-26 02:05:01.522713+00","2025-12-26 02:05:01.522713+00"
261532,3,20,50,260245,"483820.93","2025-12-26 08:15:01.288278+00","2025-12-26 08:15:01.288278+00","2025-12-26 08:15:01.288278+00"
261606,4,17,25,260319,"266402.34","2025-12-26 14:25:02.058204+00","2025-12-26 14:25:02.058204+00","2025-12-26 14:25:02.058204+00"
261680,4,1,33,260393,"270888.84","2025-12-26 20:35:02.105165+00","2025-12-26 20:35:02.105165+00","2025-12-26 20:35:02.105165+00"
261747,5,20,50,260460,"316469.97","2025-12-27 02:10:01.746812+00","2025-12-27 02:10:01.746812+00","2025-12-27 02:10:01.746812+00"
262036,4,3,32,260748,"267823.92","2025-12-28 02:10:01.482021+00","2025-12-28 02:10:01.482021+00","2025-12-28 02:10:01.482021+00"
262110,4,13,12,260822,"266784.73","2025-12-28 08:20:01.715898+00","2025-12-28 08:20:01.715898+00","2025-12-28 08:20:01.715898+00"
262184,2,5,19,260896,"342241.93","2025-12-28 14:30:01.859501+00","2025-12-28 14:30:01.859501+00","2025-12-28 14:30:01.859501+00"
262258,5,17,27,260970,"306831.58","2025-12-28 20:40:01.851205+00","2025-12-28 20:40:01.851205+00","2025-12-28 20:40:01.851205+00"
262324,1,16,21,261036,"245967.36","2025-12-29 02:10:01.767809+00","2025-12-29 02:10:01.767809+00","2025-12-29 02:10:01.767809+00"
262398,2,21,41,261110,"338425.59","2025-12-29 08:20:02.052515+00","2025-12-29 08:20:02.052515+00","2025-12-29 08:20:02.052515+00"
262472,5,13,14,261183,"313252.31","2025-12-29 14:25:01.404717+00","2025-12-29 14:25:01.404717+00","2025-12-29 14:25:01.404717+00"
262546,7,3,32,261257,"390463.47","2025-12-29 20:35:01.635281+00","2025-12-29 20:35:01.635281+00","2025-12-29 20:35:01.635281+00"
262613,4,16,24,261324,"269279.93","2025-12-30 02:10:01.275071+00","2025-12-30 02:10:01.275071+00","2025-12-30 02:10:01.275071+00"
262687,8,5,20,261398,"289110.63","2025-12-30 08:20:01.852841+00","2025-12-30 08:20:01.852841+00","2025-12-30 08:20:01.852841+00"
262761,4,16,23,261472,"269549.50","2025-12-30 14:30:02.155946+00","2025-12-30 14:30:02.155946+00","2025-12-30 14:30:02.155946+00"
261821,1,2,46,260534,"245369.23","2025-12-27 08:20:01.670689+00","2025-12-27 08:20:01.670689+00","2025-12-27 08:20:01.670689+00"
261895,8,5,16,260608,"289018.00","2025-12-27 14:30:01.242003+00","2025-12-27 14:30:01.242003+00","2025-12-27 14:30:01.242003+00"
